,home,point_diff,yard_diff,turn_diff,rank_diff,spread,Win,WinSpread
0,1,0,0,0,-4,-5.5,1.0,1.0
1,0,0,0,0,4,5.5,0.0,0.0
2,1,0,0,0,2,-1.0,0.0,0.0
3,0,0,0,0,-2,1.0,1.0,1.0
4,1,0,0,0,-4,-3.0,1.0,1.0
5,0,0,0,0,4,3.0,0.0,0.0
6,1,0,0,0,-1,-3.0,1.0,0.5
7,0,0,0,0,1,3.0,0.0,0.5
8,1,0,0,0,12,3.0,0.0,1.0
9,0,0,0,0,-12,-3.0,1.0,0.0
10,1,0,0,0,17,3.0,1.0,1.0
11,0,0,0,0,-17,-3.0,0.0,0.0
12,1,0,0,0,19,4.5,0.0,0.0
13,0,0,0,0,-19,-4.5,1.0,1.0
14,1,0,0,0,13,6.5,0.0,0.0
15,0,0,0,0,-13,-6.5,1.0,1.0
16,1,0,0,0,-10,-7.0,0.0,0.0
17,0,0,0,0,10,7.0,1.0,1.0
18,1,0,0,0,3,-3.0,1.0,1.0
19,0,0,0,0,-3,3.0,0.0,0.0
20,1,0,0,0,-1,-6.0,1.0,1.0
21,0,0,0,0,1,6.0,0.0,0.0
22,1,0,0,0,-18,-6.0,1.0,1.0
23,0,0,0,0,18,6.0,0.0,0.0
24,1,0,0,0,5,-2.0,0.0,0.0
25,0,0,0,0,-5,2.0,1.0,1.0
26,1,0,0,0,-10,-6.5,1.0,1.0
27,0,0,0,0,10,6.5,0.0,0.0
28,1,0,0,0,6,-2.5,1.0,1.0
29,0,0,0,0,-6,2.5,0.0,0.0
30,1,0,0,0,-7,-3.0,1.0,0.5
31,0,0,0,0,7,3.0,0.0,0.5
32,1,-17,-80,1,5,-3.0,0.0,0.0
33,0,17,80,-1,-5,3.0,1.0,1.0
34,1,-3,51,2,-13,-6.0,0.0,0.0
35,0,3,-51,-2,13,6.0,1.0,1.0
36,1,-28,-81,3,12,7.0,0.0,1.0
37,0,28,81,-3,-12,-7.0,1.0,0.0
38,1,28,430,-4,-17,-10.0,1.0,1.0
39,0,-28,-430,4,17,10.0,0.0,0.0
40,1,-34,-66,8,26,7.0,1.0,1.0
41,0,34,66,-8,-26,-7.0,0.0,0.0
42,1,17,100,-1,17,4.0,1.0,1.0
43,0,-17,-100,1,-17,-4.0,0.0,0.0
44,1,-13,28,0,5,-2.0,0.0,0.0
45,0,13,-28,0,-5,2.0,1.0,1.0
46,1,18,-41,-2,-15,-10.0,1.0,0.0
47,0,-18,41,2,15,10.0,0.0,1.0
48,1,-13,-167,-2,22,3.5,0.0,0.0
49,0,13,167,2,-22,-3.5,1.0,1.0
50,1,-6,-20,0,-3,-3.0,1.0,0.5
51,0,6,20,0,3,3.0,0.0,0.5
52,1,-17,8,2,15,2.0,1.0,1.0
53,0,17,-8,-2,-15,-2.0,0.0,0.0
54,1,6,35,0,-26,-12.0,1.0,0.0
55,0,-6,-35,0,26,12.0,0.0,1.0
56,1,17,282,4,-11,-10.0,1.0,0.0
57,0,-17,-282,-4,11,10.0,0.0,1.0
58,1,16,303,-1,-19,-10.0,1.0,0.0
59,0,-16,-303,1,19,10.0,0.0,1.0
