,home,net_points,net_yard,net_turn,weekly_rank,spread,Win,WinSpread
0,1,0,0,0,2,-5.5,1.0,1.0
1,0,0,0,0,6,5.5,0.0,0.0
2,1,0,0,0,17,-1.0,0.0,0.0
3,0,0,0,0,15,1.0,1.0,1.0
4,1,0,0,0,27,-3.0,1.0,1.0
5,0,0,0,0,31,3.0,0.0,0.0
6,1,0,0,0,19,-3.0,1.0,0.5
7,0,0,0,0,20,3.0,0.0,0.5
8,1,0,0,0,21,3.0,0.0,1.0
9,0,0,0,0,9,-3.0,1.0,0.0
10,1,0,0,0,24,3.0,1.0,1.0
11,0,0,0,0,7,-3.0,0.0,0.0
12,1,0,0,0,32,4.5,0.0,0.0
13,0,0,0,0,13,-4.5,1.0,1.0
14,1,0,0,0,14,6.5,0.0,0.0
15,0,0,0,0,1,-6.5,1.0,1.0
16,1,0,0,0,12,-7.0,0.0,0.0
17,0,0,0,0,22,7.0,1.0,1.0
18,1,0,0,0,29,-3.0,1.0,1.0
19,0,0,0,0,26,3.0,0.0,0.0
20,1,0,0,0,3,-6.0,1.0,1.0
21,0,0,0,0,4,6.0,0.0,0.0
22,1,0,0,0,10,-6.0,1.0,1.0
23,0,0,0,0,28,6.0,0.0,0.0
24,1,0,0,0,30,-2.0,0.0,0.0
25,0,0,0,0,25,2.0,1.0,1.0
26,1,0,0,0,8,-6.5,1.0,1.0
27,0,0,0,0,18,6.5,0.0,0.0
28,1,0,0,0,11,-2.5,1.0,1.0
29,0,0,0,0,5,2.5,0.0,0.0
30,1,0,0,0,16,-3.0,1.0,0.5
31,0,0,0,0,23,3.0,0.0,0.5
32,1,-14,-147,0,20,-3.0,0.0,0.0
33,0,3,-67,-1,15,3.0,1.0,1.0
34,1,14,147,0,12,-6.0,0.0,0.0
35,0,17,96,-2,25,6.0,1.0,1.0
36,1,3,78,1,14,7.0,0.0,1.0
37,0,31,159,-2,2,-7.0,1.0,0.0
38,1,27,144,-4,9,-10.0,1.0,1.0
39,0,-1,-286,0,26,10.0,0.0,0.0
40,1,-27,-144,4,32,7.0,1.0,1.0
41,0,7,-78,-4,6,-7.0,0.0,0.0
42,1,-14,-59,1,28,4.0,1.0,1.0
43,0,-31,-159,2,11,-4.0,0.0,0.0
44,1,-10,-40,-1,22,-2.0,0.0,0.0
45,0,3,-68,-1,17,2.0,1.0,1.0
46,1,-3,-78,-1,16,-10.0,1.0,0.0
47,0,-21,-37,1,31,10.0,0.0,1.0
48,1,-3,-127,-1,27,3.5,0.0,0.0
49,0,10,40,1,5,-3.5,1.0,1.0
50,1,15,17,-1,21,-3.0,1.0,0.5
51,0,21,37,-1,24,3.0,0.0,0.5
52,1,-3,67,1,23,2.0,1.0,1.0
53,0,14,59,-1,8,-2.0,0.0,0.0
54,1,-11,-61,2,4,-12.0,1.0,0.0
55,0,-17,-96,2,30,12.0,0.0,1.0
56,1,-7,78,4,7,-10.0,1.0,0.0
57,0,-24,-204,0,18,10.0,0.0,1.0
58,1,1,286,0,10,-10.0,1.0,0.0
59,0,-15,-17,1,29,10.0,0.0,1.0
60,1,24,204,0,1,-3.5,1.0,1.0
61,0,11,61,-2,3,3.5,0.0,0.0
62,1,-3,68,1,13,-7.0,0.0,0.0
63,0,3,127,1,19,7.0,1.0,1.0
64,1,0,77,2,7,-7.0,1.0,0.0
65,0,0,136,1,21,7.0,0.0,1.0
66,1,-27,-54,1,31,-3.0,1.0,0.5
